,C,H,O,heat_rate,T,mass_porc,biomass_EU
1404,61.93,0.91,35.47,10,348.099999999991,60.8866155157716,True
1405,61.93,0.91,35.47,20,365.279999999996,86.3644289450741,True
1406,61.93,0.91,35.47,15,337.679999999997,85.2930914166085,True
1407,61.93,0.91,35.47,15,120.420000000001,98.307745987439,True
1408,61.93,0.91,35.47,20,73.3599999999988,99.4768962510898,True
1409,61.93,0.91,35.47,10,190.599999999995,90.8269394714408,True
1410,61.93,0.91,35.47,15,847.679999999988,15.387299371947,True
1411,61.93,0.91,35.47,15,729.35999999999,33.9672016748081,True
1412,61.93,0.91,35.47,15,527.399999999994,47.923935799023,True
1413,61.93,0.91,35.47,20,312.799999999997,91.386224934612,True
1414,61.93,0.91,35.47,20,527.639999999995,59.0409764603313,True
1415,61.93,0.91,35.47,10,820.599999999991,28.4228473998295,True
1416,61.93,0.91,35.47,20,614.559999999994,46.9398430688753,True
1417,61.93,0.91,35.47,10,803.49999999999,29.5140664961637,True
1418,61.93,0.91,35.47,20,93.0399999999987,99.3025283347864,True
1419,61.93,0.91,35.47,10,683.799999999983,37.2719522591645,True
1420,61.93,0.91,35.47,20,42.1999999999991,99.7384481255449,True
1421,61.93,0.91,35.47,10,863.799999999996,23.7510656436488,True
1422,61.93,0.91,35.47,15,647.759999999992,40.387299371947,True
1423,61.93,0.91,35.47,10,198.699999999995,90.5541346973572,True
1424,61.93,0.91,35.47,20,890.079999999997,26.0680034873583,True
1425,61.93,0.91,35.47,10,287.799999999993,74.5609548167093,True
1426,61.93,0.91,35.47,10,312.999999999992,67.6555839727195,True
1427,61.93,0.91,35.47,15,351.959999999997,83.1123517096999,True
1428,61.93,0.91,35.47,10,555.099999999986,48.4057971014493,True
1429,61.93,0.91,35.47,20,603.079999999995,47.8639930252834,True
1430,61.93,0.91,35.47,15,267.299999999999,89.6371249127705,True
1431,61.93,0.91,35.47,10,366.999999999991,59.539641943734,True
1432,61.93,0.91,35.47,15,231.599999999999,93.17864619679,True
1433,61.93,0.91,35.47,10,686.499999999983,37.0332480818414,True
1434,61.93,0.91,35.47,10,872.799999999997,22.7450980392157,True
1435,61.93,0.91,35.47,10,794.499999999989,30.2131287297528,True
1436,61.93,0.91,35.47,10,846.699999999994,26.15515771526,True
1437,61.93,0.91,35.47,10,579.399999999985,45.7459505541347,True
1438,61.93,0.91,35.47,10,504.699999999987,51.304347826087,True
1439,61.93,0.91,35.47,10,140.199999999997,93.384484228474,True
1440,61.93,0.91,35.47,10,76.2999999999981,98.0221653878943,True
1441,61.93,0.91,35.47,15,685.499999999991,38.3461270062805,True
1442,61.93,0.91,35.47,20,339.039999999997,88.7881429816914,True
1443,61.93,0.91,35.47,10,498.399999999988,51.6453537936914,True
1444,61.93,0.91,35.47,15,407.039999999996,64.8464759246336,True
1445,61.93,0.91,35.47,10,60.0999999999985,98.6018755328219,True
1446,61.93,0.91,35.47,10,668.499999999983,38.5848252344416,True
1447,61.93,0.91,35.47,15,561.059999999994,44.6441032798325,True
1448,61.93,0.91,35.47,15,540.659999999994,46.5282623866016,True
1449,61.93,0.91,35.47,10,51.0999999999988,98.994032395567,True
1450,61.93,0.91,35.47,10,709.899999999982,35.1236146632566,True
1451,61.93,0.91,35.47,15,154.080000000001,97.2260990928123,True
1452,61.93,0.91,35.47,10,641.499999999984,41.0571184995738,True
1453,61.93,0.91,35.47,10,200.499999999995,90.5029838022166,True
