,C,H,O,heat_rate,T,mass_porc,biomass_ESP
2553,41.67,5.28,39.77,20,359,24.9979892222312,True
2554,41.67,5.28,39.77,15,564,7.28632,True
2555,41.67,5.28,39.77,10,751,5.83941,True
2556,41.67,5.28,39.77,10,593,6.28908,True
2557,41.67,5.28,39.77,20,202,99.215796670152,True
2558,41.67,5.28,39.77,10,825,5.81898,True
2559,41.67,5.28,39.77,15,415,15.71818,True
2560,41.67,5.28,39.77,20,495,11.1839459502935,True
2561,41.67,5.28,39.77,10,872,6.03709,True
2562,41.67,5.28,39.77,10,548,6.72299,True
2563,41.67,5.28,39.77,10,430,10.04214,True
2564,41.67,5.28,39.77,15,366,22.16092,True
2565,41.67,5.28,39.77,10,743,5.81605,True
2566,41.67,5.28,39.77,10,564,6.64195,True
2567,41.67,5.28,39.77,20,52,100.0,True
2568,41.67,5.28,39.77,20,764,6.47872597120571,True
2569,41.67,5.28,39.77,10,507,6.88049,True
2570,41.67,5.28,39.77,10,497,6.94972,True
2571,41.67,5.28,39.77,15,102,99.96336,True
2572,41.67,5.28,39.77,15,499,9.49691,True
2573,41.67,5.28,39.77,10,740,5.77004,True
2574,41.67,5.28,39.77,10,626,5.87477,True
2575,41.67,5.28,39.77,10,507,6.88469,True
2576,41.67,5.28,39.77,10,647,5.63911,True
2577,41.67,5.28,39.77,20,503,10.7817903965254,True
2578,41.67,5.28,39.77,20,748,6.49883374889407,True
2579,41.67,5.28,39.77,10,188,98.42512,True
2580,41.67,5.28,39.77,10,390,14.72511,True
2581,41.67,5.28,39.77,10,355,19.11799,True
2582,41.67,5.28,39.77,20,616,7.36346818949568,True
2583,41.67,5.28,39.77,20,669,6.8205581919086,True
2584,41.67,5.28,39.77,15,680,6.64377,True
2585,41.67,5.28,39.77,20,201,99.3163355585941,True
2586,41.67,5.28,39.77,20,84,100.0,True
2587,41.67,5.28,39.77,10,336,21.28896,True
2588,41.67,5.28,39.77,15,240,93.85023,True
