,C,H,O,heat_rate,T,mass_porc,biomass_OP
218,52.79,2.57,42.75,5,24.541,98.9349386432045,True
219,52.79,2.57,42.75,15,20.996,6.63559089662729,True
220,52.79,2.57,42.75,10,24.536,99.2097701149426,True
221,52.79,2.57,42.75,5,21.179,21.0928455661033,True
222,52.79,2.57,42.75,5,24.583,99.9305394767307,True
223,52.79,2.57,42.75,5,20.565,6.89974531141472,True
224,52.79,2.57,42.75,5,20.374,2.47742532993747,True
225,52.79,2.57,42.75,10,23.231,67.9597701149426,True
226,52.79,2.57,42.75,10,20.799,9.7222222222222,True
227,52.79,2.57,42.75,10,20.562,4.04693486590031,True
228,52.79,2.57,42.75,10,24.395,95.8333333333333,True
229,52.79,2.57,42.75,10,20.892,11.9492337164751,True
230,52.79,2.57,42.75,5,23.525,75.434128270433,True
231,52.79,2.57,42.75,10,24.269,92.8160919540231,True
232,52.79,2.57,42.75,5,24.405,95.7860615883307,True
233,52.79,2.57,42.75,10,21.327,22.3659003831417,True
234,52.79,2.57,42.75,5,20.769,11.599907385969,True
235,52.79,2.57,42.75,15,24.149,92.9531121469701,True
236,52.79,2.57,42.75,5,20.549,6.52928918731188,True
237,52.79,2.57,42.75,15,20.979,5.92267617219626,True
238,52.79,2.57,42.75,5,20.694,9.88654781199351,True
239,52.79,2.57,42.75,10,20.478,2.03544061302676,True
240,52.79,2.57,42.75,5,20.429,3.70456124102802,True
241,52.79,2.57,42.75,5,24.573,99.6990043991665,True
242,52.79,2.57,42.75,15,24.375,99.2596654784754,True
243,52.79,2.57,42.75,10,20.467,1.77203065134095,True
244,52.79,2.57,42.75,5,21.091,19.0553368835379,True
245,52.79,2.57,42.75,5,24.084,88.2611715674925,True
246,52.79,2.57,42.75,5,20.978,16.4158369993054,True
247,52.79,2.57,42.75,5,20.286,0.439916647372121,True
248,52.79,2.57,42.75,5,20.712,10.2801574438527,True
249,52.79,2.57,42.75,5,20.446,4.12132438064369,True
250,52.79,2.57,42.75,5,21.341,24.8437138226441,True
251,52.79,2.57,42.75,10,20.707,7.51915708812261,True
252,52.79,2.57,42.75,10,20.412,0.454980842911838,True
253,52.79,2.57,42.75,5,24.339,94.2579300764066,True
254,52.79,2.57,42.75,5,24.573,99.6990043991665,True
255,52.79,2.57,42.75,10,20.659,6.36973180076624,True
256,52.79,2.57,42.75,5,20.796,12.2482056031489,True
257,52.79,2.57,42.75,5,21.4,26.1634637647603,True
258,52.79,2.57,42.75,5,20.469,4.65385505904146,True
259,52.79,2.57,42.75,5,20.273,0.115767538782102,True
260,52.79,2.57,42.75,10,20.578,4.43007662835246,True
261,52.79,2.57,42.75,10,24.519,98.8026819923372,True
262,52.79,2.57,42.75,15,20.995,6.55333150534679,True
263,52.79,2.57,42.75,5,20.721,10.4653855059042,True
264,52.79,2.57,42.75,10,20.486,2.22701149425287,True
265,52.79,2.57,42.75,15,24.007,89.0320811625994,True
266,52.79,2.57,42.75,15,20.852,2.52262133260211,True
267,52.79,2.57,42.75,5,23.208,68.0250057883769,True
268,52.79,2.57,42.75,5,20.48,4.93169715211857,True
269,52.79,2.57,42.75,15,20.893,3.81135179599669,True
270,52.79,2.57,42.75,10,24.384,95.5699233716475,True
271,52.79,2.57,42.75,5,21.291,23.6165779115536,True
272,52.79,2.57,42.75,5,21.303,23.9638805279,True
273,52.79,2.57,42.75,10,24.077,88.2183908045978,True
274,52.79,2.57,42.75,10,20.862,11.2308429118773,True
275,52.79,2.57,42.75,10,21.147,18.0555555555555,True
276,52.79,2.57,42.75,10,21.134,17.7442528735632,True
277,52.79,2.57,42.75,5,20.362,2.19958323686036,True
278,52.79,2.57,42.75,10,20.878,11.6139846743295,True
279,52.79,2.57,42.75,10,20.418,0.598659003831384,True
280,52.79,2.57,42.75,5,20.815,12.6418152350081,True
281,52.79,2.57,42.75,15,20.945,5.23718124485876,True
282,52.79,2.57,42.75,5,20.379,2.5700393609632,True
283,52.79,2.57,42.75,15,23.583,77.4060871949548,True
284,52.79,2.57,42.75,5,22.528,51.9564714054179,True
285,52.79,2.57,42.75,15,20.815,1.67260762270359,True
286,52.79,2.57,42.75,10,20.597,4.8850574712643,True
287,52.79,2.57,42.75,5,20.518,5.78837693910628,True
288,52.79,2.57,42.75,10,20.848,10.8955938697318,True
289,52.79,2.57,42.75,5,21.536,29.3818013429035,True
290,52.79,2.57,42.75,15,21.106,9.5420893885385,True
291,52.79,2.57,42.75,5,24.287,93.0539476730725,True
292,52.79,2.57,42.75,5,21.228,22.2273674461681,True
293,52.79,2.57,42.75,5,24.394,95.5545265107664,True
294,52.79,2.57,42.75,5,21.18,21.1159990738597,True
295,52.79,2.57,42.75,15,24.222,95.0644365231697,True
296,52.79,2.57,42.75,10,24.407,96.1206896551724,True
297,52.79,2.57,42.75,10,20.599,4.93295019157087,True
298,52.79,2.57,42.75,5,21.208,21.7642972910396,True
299,52.79,2.57,42.75,15,21.077,8.856594461201,True
300,52.79,2.57,42.75,5,20.318,1.13452188006482,True
301,52.79,2.57,42.75,10,20.61,5.19636015325668,True
302,52.79,2.57,42.75,5,20.399,3.05626302384815,True
303,52.79,2.57,42.75,15,20.955,5.51137921579372,True
304,52.79,2.57,42.75,10,23.563,75.9099616858238,True
305,52.79,2.57,42.75,15,20.893,3.81135179599669,True
306,52.79,2.57,42.75,5,21.153,20.4908543644362,True
307,52.79,2.57,42.75,10,22.377,47.5095785440614,True
308,52.79,2.57,42.75,5,24.422,96.2028247279463,True
309,52.79,2.57,42.75,5,20.355,2.01435517480898,True
310,52.79,2.57,42.75,15,20.894,3.83877159309013,True
311,52.79,2.57,42.75,5,21.526,29.1271127575828,True
312,52.79,2.57,42.75,10,24.024,86.9492337164751,True
313,52.79,2.57,42.75,5,23.43,72.9103959249827,True
314,52.79,2.57,42.75,5,24.291,93.1465617040982,True
315,52.79,2.57,42.75,5,20.513,5.67260940032417,True
316,52.79,2.57,42.75,10,24.219,91.6187739463602,True
317,52.79,2.57,42.75,5,21.075,18.7080342671915,True
318,52.79,2.57,42.75,5,21.235,22.3662884927067,True
319,52.79,2.57,42.75,10,20.486,2.22701149425287,True
320,52.79,2.57,42.75,5,21.239,22.4820560314888,True
321,52.79,2.57,42.75,10,20.898,12.0929118773946,True
322,52.79,2.57,42.75,10,20.486,2.22701149425287,True
323,52.79,2.57,42.75,15,20.891,3.75651220180962,True
324,52.79,2.57,42.75,10,20.444,1.22126436781605,True
325,52.79,2.57,42.75,15,20.854,2.74197970935009,True
326,52.79,2.57,42.75,15,21.052,8.17109953386341,True
327,52.79,2.57,42.75,15,20.91,4.2774883465862,True
328,52.79,2.57,42.75,5,24.353,94.605232692753,True
329,52.79,2.57,42.75,5,24.514,98.2634869182681,True
330,52.79,2.57,42.75,5,23.416,72.7946283862006,True
331,52.79,2.57,42.75,5,21.252,22.8062051400787,True
332,52.79,2.57,42.75,10,24.477,97.7969348659004,True
333,52.79,2.57,42.75,15,20.864,3.01617768028515,True
334,52.79,2.57,42.75,5,24.564,99.4674693216022,True
335,52.79,2.57,42.75,15,20.891,3.70167260762265,True
336,52.79,2.57,42.75,10,20.561,4.02298850574711,True
337,52.79,2.57,42.75,15,20.894,3.83877159309013,True
338,52.79,2.57,42.75,5,21.74,33.8504283398935,True
339,52.79,2.57,42.75,5,21.583,30.3774021764298,True
340,52.79,2.57,42.75,10,23.315,69.9712643678161,True
341,52.79,2.57,42.75,5,21.222,22.111599907386,True
342,52.79,2.57,42.75,5,21.438,27.0896040750174,True
343,52.79,2.57,42.75,5,21.136,20.1203982403334,True
344,52.79,2.57,42.75,5,24.532,98.7497105811531,True
345,52.79,2.57,42.75,10,24.522,98.874521072797,True
346,52.79,2.57,42.75,5,20.791,12.086131048854,True
347,52.79,2.57,42.75,15,20.943,5.18234165067179,True
348,52.79,2.57,42.75,5,22.667,55.498958092151,True
349,52.79,2.57,42.75,5,23.667,78.5366983097939,True
350,52.79,2.57,42.75,5,20.624,8.24264876128737,True
351,52.79,2.57,42.75,5,20.966,16.0916878907155,True
352,52.79,2.57,42.75,5,20.763,11.4841398471869,True
353,52.79,2.57,42.75,10,23.106,64.9664750957855,True
354,52.79,2.57,42.75,15,21.216,12.5582670688237,True
355,52.79,2.57,42.75,5,20.43,3.7740217642973,True
356,52.79,2.57,42.75,5,20.676,9.44663116462147,True
357,52.79,2.57,42.75,5,21.204,21.6948367677703,True
358,52.79,2.57,42.75,5,20.713,10.3033109516092,True
359,52.79,2.57,42.75,5,20.553,6.62190321833761,True
360,52.79,2.57,42.75,10,24.328,94.2289272030651,True
361,52.79,2.57,42.75,10,20.896,12.0450191570881,True
362,52.79,2.57,42.75,5,23.261,69.2289881917111,True
363,52.79,2.57,42.75,15,20.879,3.42747463668769,True
364,52.79,2.57,42.75,10,24.4,95.9530651340997,True
365,52.79,2.57,42.75,10,22.72,55.7231800766284,True
366,52.79,2.57,42.75,5,20.625,8.26580226904375,True
367,52.79,2.57,42.75,15,20.852,2.68714011516312,True
368,52.79,2.57,42.75,10,20.716,7.73467432950184,True
369,52.79,2.57,42.75,10,20.781,9.29118773946356,True
370,52.79,2.57,42.75,5,21.523,29.0576522343135,True
371,52.79,2.57,42.75,5,21.207,21.6948367677703,True
372,52.79,2.57,42.75,5,20.4,3.07941653160452,True
373,52.79,2.57,42.75,5,20.347,1.85228062051405,True
374,52.79,2.57,42.75,10,21.175,18.7260536398467,True
375,52.79,2.57,42.75,10,21.438,25.0239463601533,True
376,52.79,2.57,42.75,5,21.125,19.773095623987,True
377,52.79,2.57,42.75,10,21.309,21.9348659003832,True
378,52.79,2.57,42.75,5,24.031,87.1034961796713,True
379,52.79,2.57,42.75,10,20.751,8.57279693486583,True
380,52.79,2.57,42.75,15,24.265,96.2434877981903,True
381,52.79,2.57,42.75,15,20.846,2.41294214422806,True
382,52.79,2.57,42.75,5,24.205,91.1322065292892,True
383,52.79,2.57,42.75,5,20.347,1.78282009724477,True
384,52.79,2.57,42.75,5,20.641,8.65941190090296,True
385,52.79,2.57,42.75,15,20.942,5.15492185357825,True
386,52.79,2.57,42.75,5,24.564,99.4906228293587,True
387,52.79,2.57,42.75,5,20.396,2.98680250057887,True
388,52.79,2.57,42.75,15,24.366,99.0403071017274,True
389,52.79,2.57,42.75,5,20.43,3.7740217642973,True
390,52.79,2.57,42.75,10,20.588,4.66954022988507,True
391,52.79,2.57,42.75,5,21.585,30.4700162074554,True
392,52.79,2.57,42.75,10,24.303,93.6302681992338,True
393,52.79,2.57,42.75,5,21.946,38.7821254920121,True
394,52.79,2.57,42.75,5,21.494,28.3862005093772,True
395,52.79,2.57,42.75,10,20.516,2.94540229885052,True
396,52.79,2.57,42.75,5,24.289,93.1002546885854,True
397,52.79,2.57,42.75,10,24.428,96.6235632183908,True
398,52.79,2.57,42.75,5,24.543,99.0043991664737,True
399,52.79,2.57,42.75,5,20.593,7.5480435285946,True
400,52.79,2.57,42.75,5,24.347,94.443158138458,True
401,52.79,2.57,42.75,5,20.369,2.36165779115537,True
402,52.79,2.57,42.75,5,20.689,9.77078027321141,True
403,52.79,2.57,42.75,10,24.41,96.1925287356322,True
404,52.79,2.57,42.75,5,20.331,1.38921046538556,True
405,52.79,2.57,42.75,10,22.384,47.6772030651341,True
406,52.79,2.57,42.75,5,24.49,97.7772632553832,True
407,52.79,2.57,42.75,5,21.295,23.7786524658486,True
408,52.79,2.57,42.75,5,20.779,11.8314424635332,True
409,52.79,2.57,42.75,5,21.094,19.1247974068071,True
410,52.79,2.57,42.75,5,20.41,3.31095160916881,True
411,52.79,2.57,42.75,5,20.512,5.67260940032417,True
412,52.79,2.57,42.75,5,20.43,3.7740217642973,True
