,C,H,O,heat_rate,T,mass_porc,biomass_ESP,biomass_EU,biomass_MCP,biomass_MSP,biomass_MV,biomass_OU,biomass_PP,biomass_SD
16142,61.93,0.91,35.47,15,129.600000000001,98.115840893231,False,True,False,False,False,False,False,False
16143,48.95,1.38,48.41,10,36.3999999999986,99.873257287706,False,False,False,False,False,False,True,False
16144,45.49,5.61,42.1,5,441.84,27.7046126984127,False,False,True,False,False,False,False,False
16145,45.51,5.58,41.82,5,670.047,24.0989721590909,False,False,False,True,False,False,False,False
16146,75.63,0.79,22.14,20,359.959999999999,83.8473110191802,False,False,False,False,False,True,False,False
16147,44.71,1.48,49.33,15,76.0000000000015,97.2996142306043,False,False,False,False,False,False,False,True
16148,48.95,1.38,48.41,15,533.021030000014,8.23466092572661,False,False,False,False,False,False,True,False
16149,44.71,1.48,49.33,5,428.510216346154,15.1002227171474,False,False,False,False,False,False,False,True
16150,61.93,0.91,35.47,10,406.59999999999,56.8286445012788,False,True,False,False,False,False,False,False
16151,45.51,5.58,41.82,10,841.03601,24.3880110588236,False,False,False,True,False,False,False,False
16152,44.71,1.48,49.33,15,898.36923076922,0.0857265323618707,False,False,False,False,False,False,False,True
16153,44.71,1.48,49.33,15,784.90769230768,2.57179597085307,False,False,False,False,False,False,False,True
16154,45.49,5.61,42.1,5,316.026,55.0861968253968,False,False,True,False,False,False,False,False
16155,45.49,5.61,42.1,5,538.672,23.1958698412699,False,False,True,False,False,False,False,False
16156,48.95,1.38,48.41,5,151.100000000004,97.8547102518034,False,False,False,False,False,False,True,False
16157,41.67,5.28,39.77,20,780.0,6.4586181935172,True,False,False,False,False,False,False,False
16158,45.51,5.58,41.82,5,517.203,27.7378346590909,False,False,False,True,False,False,False,False
16159,61.93,0.91,35.47,20,429.239999999996,82.8247602441151,False,True,False,False,False,False,False,False
16160,78.78,0.82,19.91,10,375.820000000007,66.3948646773074,False,False,False,False,True,False,False,False
16161,41.67,5.28,39.77,10,53.0,99.95176,True,False,False,False,False,False,False,False
16162,41.67,5.28,39.77,20,41.0,100.0,True,False,False,False,False,False,False,False
16163,45.49,5.61,42.1,5,694.01898,19.9198253968254,False,False,True,False,False,False,False,False
16164,75.63,0.79,22.14,20,72.9200000000003,99.0974050394886,False,False,False,False,False,True,False,False
16165,75.63,0.79,22.14,15,725.659999999981,31.2436393242418,False,False,False,False,False,True,False,False
16166,45.51,5.58,41.82,5,423.17801,33.3507846590909,False,False,False,True,False,False,False,False
16167,45.51,5.58,41.82,15,331.117,56.8425330120482,False,False,False,True,False,False,False,False
16168,44.71,1.48,49.33,5,795.84102884617,4.18708240534526,False,False,False,False,False,False,False,True
16169,48.95,1.38,48.41,15,555.525725000015,6.51237890204523,False,False,False,False,False,False,True,False
16170,45.49,5.61,42.1,15,133.776,92.932984,False,False,True,False,False,False,False,False
16171,45.49,5.61,42.1,10,536.02899,28.0756074576271,False,False,True,False,False,False,False,False
16172,61.93,0.91,35.47,10,819.699999999991,28.45694799659,False,True,False,False,False,False,False,False
16173,78.78,0.82,19.91,15,398.089999999996,73.0631704410012,False,False,False,False,True,False,False,False
16174,44.71,1.48,49.33,15,691.415384615377,6.17231033004723,False,False,False,False,False,False,False,True
16175,45.49,5.61,42.1,15,60.72,99.090676,False,False,True,False,False,False,False,False
16176,48.95,1.38,48.41,10,337.000000000008,34.6514575411914,False,False,False,False,False,False,True,False
16177,48.95,1.38,48.41,5,177.500000000005,96.6211686465904,False,False,False,False,False,False,True,False
16178,45.51,5.58,41.82,5,91.426,94.4785352272727,False,False,False,True,False,False,False,False
16179,44.71,1.48,49.33,15,877.4923076923,1.15730818688388,False,False,False,False,False,False,False,True
16180,45.51,5.58,41.82,15,680.30798,24.5728943373494,False,False,False,True,False,False,False,False
16181,48.95,1.38,48.41,10,190.600000000003,93.5361216730038,False,False,False,False,False,False,True,False
16182,61.93,0.91,35.47,10,521.799999999987,50.4518329070759,False,True,False,False,False,False,False,False
16183,45.49,5.61,42.1,15,313.88199,60.591664,False,False,True,False,False,False,False,False
16184,78.78,0.82,19.91,20,723.600000000011,20.8568980291345,False,False,False,False,True,False,False,False
16185,61.93,0.91,35.47,15,747.71999999999,30.1814375436148,False,True,False,False,False,False,False,False
16186,45.51,5.58,41.82,10,746.15997,25.2208327058824,False,False,False,True,False,False,False,False
16187,45.49,5.61,42.1,5,367.80801,35.3084063492064,False,False,True,False,False,False,False,False
16188,45.49,5.61,42.1,5,597.14502,21.6177714285715,False,False,True,False,False,False,False,False
16189,45.49,5.61,42.1,15,705.83197,11.92132,False,False,True,False,False,False,False,False
16190,75.63,0.79,22.14,10,425.060000000005,45.5133079847908,False,False,False,False,False,True,False,False
16191,75.63,0.79,22.14,15,230.900000000003,93.2627722369225,False,False,False,False,False,True,False,False
16192,48.95,1.38,48.41,10,520.000000000015,15.5386565272497,False,False,False,False,False,False,True,False
16193,45.49,5.61,42.1,10,708.12799,23.9455825423729,False,False,True,False,False,False,False,False
16194,75.63,0.79,22.14,10,87.5600000000002,94.8859315589353,False,False,False,False,False,True,False,False
16195,61.93,0.91,35.47,10,199.599999999995,90.5200341005968,False,True,False,False,False,False,False,False
16196,75.63,0.79,22.14,20,233.600000000001,91.5757803685596,False,False,False,False,False,True,False,False
16197,78.78,0.82,19.91,15,711.829999999996,15.8862591520518,False,False,False,False,True,False,False,False
16198,45.51,5.58,41.82,5,95.23,93.9099960227273,False,False,False,True,False,False,False,False
16199,45.51,5.58,41.82,5,606.32001,25.2086272727273,False,False,False,True,False,False,False,False
16200,45.51,5.58,41.82,5,384.10599,37.5960221590909,False,False,False,True,False,False,False,False
16201,75.63,0.79,22.14,20,695.359999999987,37.57051523129,False,False,False,False,False,True,False,False
16202,41.67,5.28,39.77,15,489.0,10.19449,True,False,False,False,False,False,False,False
