,C,H,O,heat_rate,T,mass_porc,biomass_OU
2713,75.63,0.79,22.14,15,47.6900000000013,99.6539792387543,True
2714,75.63,0.79,22.14,15,523.849999999992,47.7508650519031,True
2715,75.63,0.79,22.14,10,429.920000000005,44.1444866920152,True
2716,75.63,0.79,22.14,10,93.5000000000003,94.657794676806,True
2717,75.63,0.79,22.14,10,815.479999999988,16.9201520912548,True
2718,75.63,0.79,22.14,20,492.559999999994,52.5009402030839,True
2719,75.63,0.79,22.14,10,708.559999999995,21.2357414448669,True
2720,75.63,0.79,22.14,10,299.24,83.4220532319392,True
2721,75.63,0.79,22.14,10,75.1400000000001,95.3612167300379,True
2722,75.63,0.79,22.14,15,194.630000000002,94.5247303073478,True
2723,75.63,0.79,22.14,10,609.740000000002,25.6273764258555,True
2724,75.63,0.79,22.14,15,880.03999999998,22.5320578058213,True
2725,75.63,0.79,22.14,20,771.799999999985,34.2421963144039,True
2726,75.63,0.79,22.14,10,133.460000000001,93.4790874524715,True
2727,75.63,0.79,22.14,20,770.239999999985,34.3362166227905,True
2728,75.63,0.79,22.14,10,814.939999999988,16.9391634980988,True
2729,75.63,0.79,22.14,15,428.059999999997,67.8811316914309,True
2730,75.63,0.79,22.14,15,832.609999999976,25.239161408508,True
2731,75.63,0.79,22.14,10,280.34,85.9315589353612,True
2732,75.63,0.79,22.14,15,373.19,79.9715041726033,True
2733,75.63,0.79,22.14,10,389.420000000004,54.8859315589354,True
2734,75.63,0.79,22.14,20,241.400000000001,91.1432869499812,True
2735,75.63,0.79,22.14,10,774.979999999991,18.8022813688213,True
2736,75.63,0.79,22.14,10,843.559999999986,15.0380228136882,True
2737,75.63,0.79,22.14,10,379.160000000003,60.532319391635,True
2738,75.63,0.79,22.14,10,555.740000000006,28.041825095057,True
2739,75.63,0.79,22.14,10,540.080000000007,29.7718631178707,True
2740,75.63,0.79,22.14,15,209.510000000002,94.0158762466924,True
2741,75.63,0.79,22.14,15,666.139999999984,35.4365967840423,True
2742,75.63,0.79,22.14,10,784.15999999999,18.4030418250951,True
2743,75.63,0.79,22.14,20,72.9200000000003,99.0974050394886,True
2744,75.63,0.79,22.14,20,107.24,97.1229785633697,True
2745,75.63,0.79,22.14,10,709.099999999995,21.2357414448669,True
2746,75.63,0.79,22.14,10,576.800000000004,26.8631178707224,True
2747,75.63,0.79,22.14,15,886.54999999998,22.226745369428,True
2748,75.63,0.79,22.14,20,486.319999999995,53.8360285821738,True
2749,75.63,0.79,22.14,20,749.959999999985,35.5020684467846,True
2750,75.63,0.79,22.14,10,45.44,97.5285171102661,True
2751,75.63,0.79,22.14,10,53.54,96.7490494296577,True
2752,75.63,0.79,22.14,20,197.72,93.4561865362918,True
2753,75.63,0.79,22.14,20,157.16,94.8476871004137,True
2754,75.63,0.79,22.14,20,827.959999999983,32.2113576532531,True
2755,75.63,0.79,22.14,10,841.939999999986,15.0950570342205,True
2756,75.63,0.79,22.14,10,88.1000000000002,94.828897338403,True
2757,75.63,0.79,22.14,15,328.550000000002,86.342357012009,True
2758,75.63,0.79,22.14,10,588.140000000003,26.4068441064639,True
2759,75.63,0.79,22.14,10,448.820000000006,41.2167300380228,True
2760,75.63,0.79,22.14,20,879.439999999981,30.2557352388116,True
2761,75.63,0.79,22.14,10,689.659999999997,21.9961977186312,True
2762,75.63,0.79,22.14,15,34.6700000000012,99.8575208630165,True
2763,75.63,0.79,22.14,15,614.989999999987,39.548137594138,True
2764,75.63,0.79,22.14,10,838.159999999987,15.3231939163498,True
2765,75.63,0.79,22.14,15,800.059999999977,26.7046611031956,True
2766,75.63,0.79,22.14,15,318.320000000003,87.482190107877,True
2767,75.63,0.79,22.14,10,682.099999999997,22.4524714828897,True
2768,75.63,0.79,22.14,10,823.039999999988,16.2927756653992,True
2769,75.63,0.79,22.14,15,42.1100000000013,99.7761042133116,True
2770,75.63,0.79,22.14,10,454.220000000006,40.8365019011407,True
2771,75.63,0.79,22.14,15,467.119999999995,57.4190922043558,True
2772,75.63,0.79,22.14,20,221.120000000001,92.2151184655886,True
2773,75.63,0.79,22.14,20,383.359999999998,81.3839789394509,True
2774,75.63,0.79,22.14,10,243.079999999999,87.9657794676806,True
2775,75.63,0.79,22.14,10,315.440000000001,80.0950570342205,True
2776,75.63,0.79,22.14,15,184.400000000002,94.7689802564624,True
2777,75.63,0.79,22.14,15,499.669999999993,51.4756767759007,True
2778,75.63,0.79,22.14,15,420.619999999997,71.8501933645431,True
2779,75.63,0.79,22.14,10,690.739999999996,21.8821292775665,True
2780,75.63,0.79,22.14,20,403.639999999998,79.8420458819105,True
2781,75.63,0.79,22.14,10,315.980000000001,79.7338403041825,True
2782,75.63,0.79,22.14,10,306.260000000001,82.1863117870722,True
2783,75.63,0.79,22.14,10,112.400000000001,93.8973384030418,True
