,C,H,O,heat_rate,T,mass_porc,biomass
2788,52.79,2.57,42.75,15,24.271,96.4354263778448,OP
2789,52.79,2.57,42.75,10,20.543,3.59195402298847,OP
2790,52.79,2.57,42.75,5,24.404,95.7860615883307,OP
2791,52.79,2.57,42.75,5,20.85,13.4984950219959,OP
2792,52.79,2.57,42.75,15,21.156,10.8582396490265,OP
2793,52.79,2.57,42.75,15,20.893,3.81135179599669,OP
2794,52.79,2.57,42.75,10,20.597,4.8850574712643,OP
2795,52.79,2.57,42.75,10,20.613,5.26819923371645,OP
2796,52.79,2.57,42.75,10,22.19,43.0316091954023,OP
2797,52.79,2.57,42.75,5,20.463,4.49178050474645,OP
2798,52.79,2.57,42.75,15,20.935,4.77104469426925,OP
2799,52.79,2.57,42.75,5,20.615,8.05742069923591,OP
2800,52.79,2.57,42.75,10,20.597,4.8850574712643,OP
2801,52.79,2.57,42.75,15,21.011,7.04688785302983,OP
2802,52.79,2.57,42.75,5,21.201,21.6022227367446,OP
2803,52.79,2.57,42.75,10,24.344,94.6120689655173,OP
2804,52.79,2.57,42.75,15,24.09,91.472443103921,OP
2805,52.79,2.57,42.75,10,20.434,0.981800766283534,OP
2806,52.79,2.57,42.75,15,21.014,7.04688785302983,OP
2807,52.79,2.57,42.75,10,24.453,97.2222222222222,OP
2808,52.79,2.57,42.75,10,21.388,23.8266283524904,OP
2809,52.79,2.57,42.75,10,22.818,58.0699233716476,OP
2810,52.79,2.57,42.75,5,21.565,30.0300995600834,OP
2811,52.79,2.57,42.75,5,24.393,95.53137300301,OP
2812,52.79,2.57,42.75,5,24.452,96.8974299606391,OP
2813,52.79,2.57,42.75,5,20.48,4.93169715211857,OP
2814,52.79,2.57,42.75,10,24.556,99.6886973180077,OP
2815,52.79,2.57,42.75,10,20.561,4.02298850574711,OP
2816,52.79,2.57,42.75,5,21.295,23.7786524658486,OP
2817,52.79,2.57,42.75,10,24.395,95.8333333333333,OP
2818,52.79,2.57,42.75,5,24.522,98.4950219958324,OP
2819,52.79,2.57,42.75,15,24.104,91.7192212777626,OP
2820,52.79,2.57,42.75,5,23.231,68.5575364667748,OP
2821,52.79,2.57,42.75,5,20.779,11.8545959712897,OP
2822,52.79,2.57,42.75,5,24.542,98.9812456587174,OP
2823,52.79,2.57,42.75,5,20.668,9.26140310257009,OP
2824,52.79,2.57,42.75,5,21.294,23.7554989580922,OP
2825,52.79,2.57,42.75,10,24.4,95.9530651340997,OP
2826,52.79,2.57,42.75,5,20.743,10.9747626765455,OP
2827,52.79,2.57,42.75,15,20.967,5.84041678091575,OP
2828,52.79,2.57,42.75,5,21.169,20.8844639962955,OP
2829,52.79,2.57,42.75,5,20.44,4.00555684186159,OP
2830,52.79,2.57,42.75,15,20.853,2.68714011516312,OP
2831,52.79,2.57,42.75,5,21.112,19.5415605464228,OP
2832,52.79,2.57,42.75,5,23.0,63.1859226672841,OP
2833,52.79,2.57,42.75,10,20.561,4.02298850574711,OP
2834,52.79,2.57,42.75,15,24.402,100.0,OP
2835,52.79,2.57,42.75,10,21.105,17.0498084291188,OP
2836,52.79,2.57,42.75,15,20.869,3.15327666575263,OP
2837,52.79,2.57,42.75,15,21.0,6.74527008500134,OP
