,C,H,O,heat_rate,T,mass_porc,biomass
2175,41.67,5.28,39.77,20,52,100.0,ESP
2176,41.67,5.28,39.77,15,538,7.71581,ESP
2177,41.67,5.28,39.77,10,183,98.78312,ESP
2178,41.67,5.28,39.77,20,80,100.0,ESP
2179,41.67,5.28,39.77,20,229,96.0387677953832,ESP
2180,41.67,5.28,39.77,20,316,36.8213625030162,ESP
2181,41.67,5.28,39.77,15,332,28.5422,ESP
2182,41.67,5.28,39.77,15,443,13.21918,ESP
2183,41.67,5.28,39.77,10,707,5.86181,ESP
2184,41.67,5.28,39.77,10,313,25.69966,ESP
2185,41.67,5.28,39.77,20,702,6.69991152577813,ESP
2186,41.67,5.28,39.77,20,727,6.57926485964767,ESP
2187,41.67,5.28,39.77,20,53,100.0,ESP
2188,41.67,5.28,39.77,20,36,100.0,ESP
2189,41.67,5.28,39.77,10,803,5.6798,ESP
2190,41.67,5.28,39.77,15,33,100.0,ESP
2191,41.67,5.28,39.77,10,871,6.2116,ESP
2192,41.67,5.28,39.77,20,489,11.4855626156197,ESP
2193,41.67,5.28,39.77,20,587,7.78573152095231,ESP
2194,41.67,5.28,39.77,20,202,99.2761200032172,ESP
2195,41.67,5.28,39.77,10,187,98.57799,ESP
2196,41.67,5.28,39.77,10,647,5.63911,ESP
2197,41.67,5.28,39.77,10,805,5.68962,ESP
2198,41.67,5.28,39.77,15,698,6.6024,ESP
2199,41.67,5.28,39.77,20,826,6.33797152738674,ESP
2200,41.67,5.28,39.77,20,845,6.23743263894478,ESP
2201,41.67,5.28,39.77,15,663,6.73414,ESP
2202,41.67,5.28,39.77,15,288,59.45007,ESP
2203,41.67,5.28,39.77,15,476,10.86086,ESP
2204,41.67,5.28,39.77,15,666,6.7123,ESP
2205,41.67,5.28,39.77,10,795,5.71812,ESP
2206,41.67,5.28,39.77,10,108,99.33851,ESP
2207,41.67,5.28,39.77,10,206,97.13274,ESP
2208,41.67,5.28,39.77,15,499,9.49691,ESP
2209,41.67,5.28,39.77,15,465,11.51639,ESP
2210,41.67,5.28,39.77,20,312,38.1484758304512,ESP
2211,41.67,5.28,39.77,10,288,45.30359,ESP
2212,41.67,5.28,39.77,20,562,8.22810263009729,ESP
2213,41.67,5.28,39.77,15,572,7.15903,ESP
2214,41.67,5.28,39.77,15,177,99.65358,ESP
2215,41.67,5.28,39.77,20,805,6.41840263814048,ESP
2216,41.67,5.28,39.77,10,581,6.55239,ESP
2217,41.67,5.28,39.77,10,344,20.32264,ESP
2218,41.67,5.28,39.77,15,335,27.73582,ESP
2219,41.67,5.28,39.77,10,317,24.61512,ESP
2220,41.67,5.28,39.77,15,243,93.09862,ESP
2221,41.67,5.28,39.77,20,772,6.47872597120571,ESP
2222,41.67,5.28,39.77,15,726,6.51712,ESP
2223,41.67,5.28,39.77,20,207,98.8739644494491,ESP
2224,41.67,5.28,39.77,10,40,100.0,ESP
2225,41.67,5.28,39.77,10,485,7.10684,ESP
2226,41.67,5.28,39.77,10,866,6.02782,ESP
2227,41.67,5.28,39.77,15,836,5.01101,ESP
2228,41.67,5.28,39.77,20,758,6.49883374889407,ESP
2229,41.67,5.28,39.77,20,513,10.1584492881847,ESP
2230,41.67,5.28,39.77,10,824,5.86767,ESP
2231,41.67,5.28,39.77,10,374,16.71152,ESP
2232,41.67,5.28,39.77,10,51,99.8641,ESP
2233,41.67,5.28,39.77,15,877,5.01101,ESP
2234,41.67,5.28,39.77,20,415,17.2967103675702,ESP
2235,41.67,5.28,39.77,10,550,6.71377,ESP
2236,41.67,5.28,39.77,15,712,6.56147,ESP
2237,41.67,5.28,39.77,10,277,57.8922,ESP
2238,41.67,5.28,39.77,20,408,18.4629614734979,ESP
2239,41.67,5.28,39.77,15,812,4.98424,ESP
2240,41.67,5.28,39.77,10,196,98.01,ESP
2241,41.67,5.28,39.77,10,434,9.79887,ESP
2242,41.67,5.28,39.77,10,251,86.79682,ESP
2243,41.67,5.28,39.77,10,785,5.79675,ESP
2244,41.67,5.28,39.77,15,397,17.53886,ESP
2245,41.67,5.28,39.77,10,548,6.72299,ESP
2246,41.67,5.28,39.77,10,391,14.36535,ESP
2247,41.67,5.28,39.77,10,445,9.01014,ESP
2248,41.67,5.28,39.77,10,721,5.72705,ESP
2249,41.67,5.28,39.77,20,726,6.55915708195931,ESP
2250,41.67,5.28,39.77,15,63,100.01691,ESP
2251,41.67,5.28,39.77,10,500,6.92181,ESP
2252,41.67,5.28,39.77,10,275,63.25099,ESP
2253,41.67,5.28,39.77,20,588,7.78573152095231,ESP
2254,41.67,5.28,39.77,10,232,94.51744,ESP
2255,41.67,5.28,39.77,10,548,6.72925,ESP
2256,41.67,5.28,39.77,10,533,6.78646,ESP
2257,41.67,5.28,39.77,10,823,5.84325,ESP
2258,41.67,5.28,39.77,20,87,100.0,ESP
2259,41.67,5.28,39.77,15,449,12.71006,ESP
2260,41.67,5.28,39.77,10,812,5.69536,ESP
2261,41.67,5.28,39.77,10,680,5.6504,ESP
2262,41.67,5.28,39.77,20,692,6.69991152577813,ESP
2263,41.67,5.28,39.77,15,92,100.00435,ESP
2264,41.67,5.28,39.77,20,710,6.6395881927129,ESP
2265,41.67,5.28,39.77,10,946,6.22542,ESP
2266,41.67,5.28,39.77,15,668,6.69014,ESP
2267,41.67,5.28,39.77,10,41,100.0,ESP
2268,41.67,5.28,39.77,20,47,100.0,ESP
2269,41.67,5.28,39.77,15,535,7.77993,ESP
2270,41.67,5.28,39.77,15,386,19.48469,ESP
2271,41.67,5.28,39.77,15,770,5.98584,ESP
2272,41.67,5.28,39.77,15,204,98.13274,ESP
2273,41.67,5.28,39.77,10,557,6.6847,ESP
2274,41.67,5.28,39.77,20,551,8.40907262929299,ESP
2275,41.67,5.28,39.77,10,328,22.458,ESP
2276,41.67,5.28,39.77,10,476,7.36461,ESP
2277,41.67,5.28,39.77,10,394,13.86389,ESP
2278,41.67,5.28,39.77,15,880,5.01101,ESP
2279,41.67,5.28,39.77,15,284,62.76684,ESP
2280,41.67,5.28,39.77,10,538,6.77043,ESP
2281,41.67,5.28,39.77,15,636,6.85411,ESP
2282,41.67,5.28,39.77,20,56,100.0,ESP
2283,41.67,5.28,39.77,10,284,48.15572,ESP
2284,41.67,5.28,39.77,20,265,86.3870345049465,ESP
2285,41.67,5.28,39.77,10,413,11.70379,ESP
2286,41.67,5.28,39.77,15,501,9.43635,ESP
2287,41.67,5.28,39.77,15,745,6.42221,ESP
2288,41.67,5.28,39.77,15,235,94.48812,ESP
2289,41.67,5.28,39.77,15,525,8.13344,ESP
2290,41.67,5.28,39.77,10,646,5.65518,ESP
2291,41.67,5.28,39.77,10,875,6.22286,ESP
2292,41.67,5.28,39.77,10,231,94.6757,ESP
2293,41.67,5.28,39.77,10,425,10.52501,ESP
2294,41.67,5.28,39.77,10,285,47.43563,ESP
2295,41.67,5.28,39.77,15,344,25.94803,ESP
2296,41.67,5.28,39.77,20,845,6.25754041663314,ESP
2297,41.67,5.28,39.77,10,37,100.0,ESP
2298,41.67,5.28,39.77,10,531,6.79412,ESP
2299,41.67,5.28,39.77,10,554,6.6989,ESP
2300,41.67,5.28,39.77,10,810,5.64283,ESP
2301,41.67,5.28,39.77,10,694,5.7267,ESP
2302,41.67,5.28,39.77,15,394,17.78194,ESP
2303,41.67,5.28,39.77,15,682,6.63558,ESP
2304,41.67,5.28,39.77,20,759,6.47872597120571,ESP
2305,41.67,5.28,39.77,10,641,5.68948,ESP
2306,41.67,5.28,39.77,10,713,5.81742,ESP
2307,41.67,5.28,39.77,10,748,5.87846,ESP
2308,41.67,5.28,39.77,10,527,6.81103,ESP
2309,41.67,5.28,39.77,10,696,5.73459,ESP
2310,41.67,5.28,39.77,10,596,6.20607,ESP
2311,41.67,5.28,39.77,15,823,5.01101,ESP
2312,41.67,5.28,39.77,20,790,6.39829486045197,ESP
2313,41.67,5.28,39.77,10,666,5.87846,ESP
2314,41.67,5.28,39.77,15,240,93.85023,ESP
2315,41.67,5.28,39.77,10,452,8.60875,ESP
2316,41.67,5.28,39.77,15,794,5.0442,ESP
2317,41.67,5.28,39.77,15,393,18.38739,ESP
2318,41.67,5.28,39.77,20,829,6.27764819432151,ESP
2319,41.67,5.28,39.77,10,289,43.22164,ESP
2320,41.67,5.28,39.77,20,532,9.21338373682937,ESP
2321,41.67,5.28,39.77,15,584,7.00838,ESP
2322,41.67,5.28,39.77,10,521,6.82546,ESP
2323,41.67,5.28,39.77,20,230,96.1795222392022,ESP
2324,41.67,5.28,39.77,10,889,6.06151,ESP
2325,41.67,5.28,39.77,15,817,5.01101,ESP
2326,41.67,5.28,39.77,10,62,100.09302,ESP
2327,41.67,5.28,39.77,10,360,18.33033,ESP
2328,41.67,5.28,39.77,10,265,73.54628,ESP
2329,41.67,5.28,39.77,20,284,73.7392423389368,ESP
2330,41.67,5.28,39.77,20,323,33.4030402959865,ESP
2331,41.67,5.28,39.77,20,237,95.0534866886511,ESP
2332,41.67,5.28,39.77,15,428,14.54411,ESP
2333,41.67,5.28,39.77,15,96,99.99279,ESP
2334,41.67,5.28,39.77,10,86,99.7692,ESP
2335,41.67,5.28,39.77,10,650,5.63422,ESP
2336,41.67,5.28,39.77,20,742,6.51894152658244,ESP
2337,41.67,5.28,39.77,10,38,100.0,ESP
2338,41.67,5.28,39.77,20,256,89.5238478243384,ESP
2339,41.67,5.28,39.77,20,851,6.19721708356791,ESP
2340,41.67,5.28,39.77,15,534,7.80364,ESP
2341,41.67,5.28,39.77,10,669,5.86181,ESP
2342,41.67,5.28,39.77,15,704,6.5952,ESP
2343,41.67,5.28,39.77,15,197,98.6448,ESP
2344,41.67,5.28,39.77,10,418,11.14048,ESP
2345,41.67,5.28,39.77,10,660,5.7267,ESP
2346,41.67,5.28,39.77,10,491,7.02866,ESP
2347,41.67,5.28,39.77,10,38,100.0,ESP
2348,41.67,5.28,39.77,15,652,6.79123,ESP
2349,41.67,5.28,39.77,15,662,6.73808,ESP
2350,41.67,5.28,39.77,20,77,100.0,ESP
2351,41.67,5.28,39.77,20,825,6.31786374969838,ESP
2352,41.67,5.28,39.77,20,114,99.9798922223116,ESP
2353,41.67,5.28,39.77,10,815,5.71868,ESP
2354,41.67,5.28,39.77,20,236,95.2143489101585,ESP
2355,41.67,5.28,39.77,15,193,98.97524,ESP
2356,41.67,5.28,39.77,20,197,99.5174133354781,ESP
2357,41.67,5.28,39.77,15,40,100.0,ESP
2358,41.67,5.28,39.77,15,618,6.89263,ESP
2359,41.67,5.28,39.77,15,524,8.16979,ESP
2360,41.67,5.28,39.77,15,910,5.01101,ESP
2361,41.67,5.28,39.77,15,95,99.99557,ESP
